product,category,title,question,answer,source_type,keywords,status
,FAQ,Apakah produk herbal bisa diminum bersamaan dengan obat rutin,Bolehkah produk herbal digunakan bersama obat rutin?,Penggunaan bersamaan dengan obat rutin memerlukan kehati-hatian. Pengguna sebaiknya berkonsultasi lebih dahulu untuk menilai kecocokan dan mengurangi risiko interaksi yang tidak diinginkan.,faq,"obat rutin, interaksi, kontraindikasi, konsultasi",published
,FAQ,Apakah produk herbal dapat menggantikan pengobatan medis?,Apakah produk herbal dapat menggantikan pengobatan medis?,Tidak. Produk herbal merupakan pelengkap dan bukan pengganti diagnosis maupun terapi dari dokter.,faq,"herbal,dokter",published
,FAQ,Apakah semua keluhan cocok dengan produk herbal,Apakah semua keluhan bisa ditangani dengan produk herbal?,Tidak semua keluhan cocok ditangani hanya dengan produk herbal. Sistem hanya membantu memberi informasi awal berbasis knowledge base dan tidak menggantikan pemeriksaan medis.,faq,"semua keluhan, diagnosis, batas sistem, pemeriksaan medis",published
,FAQ,Apakah semua produk cocok untuk semua orang?,Apakah semua produk cocok untuk semua orang?,Tidak. Penggunaan perlu disesuaikan dengan kondisi masing-masing individu.,faq,umum,published
,Aturan Pakai,Aturan pakai Herba Imuno Plus,Bagaimana aturan pakai Herba Imuno Plus?,Herba Imuno Plus dapat dikonsumsi 1 sampai 2 kali sehari sesuai kebutuhan dan anjuran kemasan.,product,"herba imuno plus, imunitas, daya tahan tubuh",published
,Aturan Pakai,Aturan pakai Herba Lambung Sehat,Bagaimana aturan pakai Herba Lambung Sehat?,Herba Lambung Sehat dikonsumsi 2 kali sehari setelah makan sesuai anjuran kemasan dan disesuaikan dengan kondisi pengguna.,product,"herba lambung sehat, lambung, aturan pakai",published
,Aturan Pakai,Aturan pakai Herba Lega Nafas,Bagaimana aturan pakai Herba Lega Nafas?,"Herba Lega Nafas dikonsumsi sesuai anjuran kemasan, terutama saat tubuh memerlukan dukungan kenyamanan pada tenggorokan dan pernapasan.",product,"herba lega nafas, tenggorokan, pernapasan, aturan pakai",published
,Aturan Pakai,Aturan pakai Herba Stamina Prima,Bagaimana aturan pakai Herba Stamina Prima?,Herba Stamina Prima dikonsumsi 1 kali sehari setelah makan sesuai anjuran kemasan untuk membantu menjaga kebugaran saat aktivitas padat.,product,"herba stamina prima, stamina, energi, aturan pakai",published
,Penyimpanan,Bagaimana cara menyimpan produk herbal?,Bagaimana cara menyimpan produk herbal?,"Simpan di tempat yang sejuk, kering, dan jauh dari jangkauan anak-anak.",product,penyimpanan,published
,FAQ,Batas sistem konsultasi herbal,Apakah sistem ini memberikan diagnosis medis?,"Sistem ini memberikan informasi awal terkait produk herbal dan bukan pengganti diagnosis medis. Jika keluhan berat atau berlanjut, pengguna perlu berkonsultasi dengan tenaga kesehatan.",sop,"diagnosis, medis, konsultasi awal, batas sistem",published
