product,category,title,question,answer,source_type,keywords,status
Gerd Zero Pro,digestive_health,Apa itu Gerd Zero Pro?,Apa itu Gerd Zero Pro?,"Gerd Zero Pro adalah nutrisi herbal berbentuk madu yang diformulasikan untuk membantu menjaga kesehatan lambung dan sistem pencernaan. Produk ini mengandung madu, sambiloto, kelor, dan kunyit (Domestica DE-15).",official,gerd zero pro;gzp;apa itu;produk lambung,active
Gerd Zero Pro,digestive_health,Manfaat Gerd Zero Pro,Apa manfaat Gerd Zero Pro?,"Gerd Zero Pro membantu menjaga kesehatan lambung, membantu mengurangi rasa tidak nyaman pada lambung, serta membantu menjaga kesehatan saluran pencernaan apabila dikonsumsi sesuai petunjuk.",official,manfaat;fungsi;lambung;gerd;maag,active
Gerd Zero Pro,digestive_health,Kandungan Gerd Zero Pro,Apa kandungan Gerd Zero Pro?,"Kandungan utama Gerd Zero Pro meliputi madu alami, sambiloto, kelor, dan kunyit (Domestica DE-15).",official,komposisi;bahan;ingredients;madu;sambiloto;kelor;kunyit,active
Gerd Zero Pro,digestive_health,Cara konsumsi,Bagaimana cara mengonsumsi Gerd Zero Pro?,"Konsumsi sesuai petunjuk pada kemasan. Gunakan secara rutin sesuai anjuran. Jangan melebihi dosis yang dianjurkan.",official,cara minum;aturan pakai;dosis,active
Gerd Zero Pro,digestive_health,Untuk siapa?,Siapa yang dapat mengonsumsi Gerd Zero Pro?,"Produk ini ditujukan untuk orang dewasa yang ingin membantu menjaga kesehatan lambung dan pencernaan. Apabila sedang hamil, menyusui, memiliki penyakit tertentu, atau mengonsumsi obat rutin, konsultasikan dengan tenaga kesehatan sebelum menggunakannya.",official,target pengguna;dewasa;hamil;menyusui,active
Gerd Zero Pro,digestive_health,Efek samping,Apakah Gerd Zero Pro memiliki efek samping?,"Apabila digunakan sesuai petunjuk umumnya dapat digunakan dengan baik. Hentikan penggunaan jika muncul reaksi alergi terhadap salah satu bahan penyusun dan konsultasikan dengan tenaga kesehatan.",official,efek samping;alergi;aman,active
Gerd Zero Pro,digestive_health,Pengganti obat,Apakah Gerd Zero Pro dapat menggantikan obat dokter?,"Tidak. Gerd Zero Pro merupakan produk nutrisi/herbal untuk membantu menjaga kesehatan dan bukan pengganti diagnosis, terapi, maupun obat yang diresepkan dokter.",knowledge,obat dokter;pengganti obat;terapi,active
Gerd Zero Pro,digestive_health,GERD,Apakah Gerd Zero Pro dapat menyembuhkan GERD?,"Produk ini dipasarkan untuk membantu menjaga kesehatan lambung. AI tidak boleh mengklaim bahwa produk dapat menyembuhkan GERD atau penyakit tertentu. Jika gejala berat atau berulang, pengguna sebaiknya berkonsultasi dengan dokter.",medical_policy,gerd;penyembuhan;asam lambung,active
DetoGreen Tea,digestive_health,Apa itu DetoGreen Tea?,Apa itu DetoGreen Tea?,"DetoGreen Tea adalah teh herbal yang diformulasikan untuk membantu melancarkan buang air besar (BAB) dan membantu menjaga kesehatan sistem pencernaan.",official,detogreen;teh herbal;bab,active
DetoGreen Tea,digestive_health,Manfaat DetoGreen Tea,Apa manfaat DetoGreen Tea?,"DetoGreen Tea membantu melancarkan BAB, membantu mengurangi rasa penuh atau kembung, serta membantu menjaga keteraturan pencernaan.",official,manfaat;bab;konstipasi;kembung,active
DetoGreen Tea,digestive_health,Cara konsumsi,Bagaimana cara minum DetoGreen Tea?,"Seduh satu kantong teh menggunakan air panas hingga siap diminum. Konsumsi sesuai petunjuk pada kemasan.",official,cara seduh;aturan minum,active
DetoGreen Tea,digestive_health,Lambung sensitif,Bolehkah diminum oleh penderita maag?,"Apabila memiliki lambung sensitif, sebaiknya diminum setelah makan sesuai petunjuk penggunaan pada kemasan. Jika keluhan berlanjut, konsultasikan dengan tenaga kesehatan.",official,maag;lambung;setelah makan,active
DetoGreen Tea,digestive_health,Penggunaan harian,Bolehkah diminum setiap hari?,"Ikuti petunjuk penggunaan pada kemasan. Hindari konsumsi berlebihan dan pastikan kebutuhan cairan tubuh tetap terpenuhi.",knowledge,setiap hari;rutin,active
Beryla Baby Soothing Massage,mother_baby,Apa itu Beryla Baby Soothing Massage?,Apa itu Beryla Baby Soothing Massage?,"Produk minyak pijat bayi yang membantu memberikan rasa nyaman saat pemijatan dan membantu menjaga kelembapan kulit bayi.",official,bayi;massage;baby oil,active
Beryla Baby Soothing Massage,mother_baby,Cara penggunaan,Bagaimana cara menggunakan Baby Soothing Massage?,"Tuangkan secukupnya ke telapak tangan kemudian pijat lembut pada tubuh bayi sesuai kebutuhan.",official,cara pakai;pijat bayi,active
Beryla Baby Soothing Massage,mother_baby,Keamanan,Apakah aman untuk bayi baru lahir?,"Gunakan sesuai petunjuk pada kemasan. Bila bayi memiliki kulit sangat sensitif atau muncul iritasi, hentikan penggunaan dan konsultasikan dengan tenaga kesehatan.",knowledge,newborn;bayi baru lahir;aman,active
